site.plot,Hydrogroup,HSG_2,lat,lon,site,B,plot,rep,siteB,site.plot.rep,depth,count_n,count_y,count_c,count_h,count_obs,frac_farmed,last_yr_y,first_yr_n,last_yr_farmed,last_yr_range,sample.type,date.collected,smpl.yr,YSF,treatment,BD,MC60,WEPw,TP.ign,HCl.Pi,HCl.Po,LOI,Ox.P,Ox.Al,Ox.Fe,Ox.Mn,Ox.PSR,Ox.SPSC,sand,silt,clay,texture,fines,Ox.PSC,Ox.DPS,Ox.P2Fe,WFPS,Ox.P2Al,Ox.Al2Fe,HCl.PSR,MM.P,MM.P.ICP,MM.K,MM.Mg,MM.Ca,MM.Al,MM.B,MM.Cu,MM.Fe,MM.Mn,MM.Na,MM.S,MM.Zn,IP2TP,prior,farm_group,site_ID,study,FF,TP,Pi,Po,Pi2TP,OBJECTID,IDN,sample_date,project,Land_Use,LU_HSG,Transect,TPMD,TOP,Total_Inorganic,F__N,F__C,pH,TEXTURE,HSG,Al,Ca,Cu,Fe,K,Mg,Mn,Na,S,F39,F40,F41,F42,Value,sampledate,sample_yr
QuH.2,B/D,D,43.78716,-73.109,QuH,2,2,2,QuH2,QuH.2.2,0-10cm,4,5,0,0,9,0.555555555555555,2009,2011,2009,2009-2011,surface plots,NA,2018.68333333333,9.68333333333339,CTRL,0.904152897072632,0.2940648430728824,NA,1056.9846546293181,463.5908545124894,593.3938001168304,0.09279800889301325,516.1181653788153,1699.6795363779652,2640.4018913526306,157.03311888267862,0.15442865985809365,258.6702482285438,5.7,83.05,11.25,Silt,94.3,3413.1349591364415,0.30885731971618646,0.36259376821339484,0.413391863533536,0.269103241969882,1.3409371420343903,0.13930205128786918,5.631514161416725,9.646735886647745,53.61160791855323,193.63739688648153,1949.3361104258743,23.282035556410033,0.2010267677738672,0.4411785857809049,14.998280030761219,17.463180140840496,19.603893330769893,18.562602851509133,0.7455173763396519,0.43859752597360985,hay/pasture,>25% & <75%,QuH.2,Wiegman,0.555555555555555,1056.9846546293181,463.5908545124894,593.3938001168287,0.43859752597360985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QuH.2,C,C,43.79,-73.10939,QuH,2,2,3,QuH2,QuH.2.3,0-10cm,4,5,0,0,9,0.555555555555555,2009,2011,2009,2009-2011,surface plots,NA,2018.68333333333,9.68333333333339,CTRL,0.9041803627786875,0.26890871580924186,NA,1061.9035568238367,428.58243777430744,633.321119049532,0.0966307769947865,584.2874242908144,1906.1302820882902,2836.341324300975,173.71727404932,0.1569437076285292,275.40159206774655,5.7,83.05,11.25,Silt,94.3,3758.637472318246,0.31388741525705754,0.37556231502905013,0.3736665460608399,0.26961289378936065,1.393519343840409,0.11444299894874997,5.718538767068105,9.768823804284873,54.22407526454047,194.59373815965432,1950.310025599994,23.28575311237961,0.20144921731586413,0.4408406261473073,15.132112045665863,17.636468942967664,19.59274066286117,18.66365278195482,0.7568390240651712,0.403598269372222,hay/pasture,>25% & <75%,QuH.2,Wiegman,0.555555555555555,1061.9035568238367,428.58243777430744,633.3211190495292,0.403598269372222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCSP.2,C,C,43.91869,-73.175,OCSP,NA,2,1,OCSP,OCSP.2.1,0-10cm,8,1,0,0,9,0.111111111111111,1995,2003,1995,1995-2003,intact cores,2019-07-09T00:00:00Z,2019.51944444444,24.5194444444443,CTRL,0.447060574565403,0.5225416105526764,0.8645841541269585,1057.8705696983404,353.7352120157059,704.1353576826336,0.2622188218250424,704.4411266120649,2412.5066143654885,2187.665789293032,49.39422646766395,0.17697433042160368,211.9495866715423,2.96500000000001,82.0349999999999,15,Silt loam,97.035,3980.9442778946795,0.35394866084320686,0.5875272111767389,0.3310546417843071,0.2572599656542724,2.3589507493111337,0.0888706102514299,5.563763074193709,13.98506198163942,103.06765195014736,171.93992513405513,2057.472063004422,57.20644069147276,0.19032976291630818,0.7031160416870029,88.70830092261447,21.181284380148867,37.037503970196965,53.12817424488488,3.0758668744509157,0.3343842074334066,hay/pasture,<25%,OCSP.2,Wiegman,0.111111111111111,1057.8705696983404,353.7352120157059,704.1353576826345,0.3343842074334066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
QuH.2,B/D,D,43.78716,-73.109,QuH,2,2,1,QuH2,QuH.2.1,0-10cm,4,5,0,0,9,0.555555555555555,2009,2011,2009,2009-2011,surface plots,NA,2018.68333333333,9.68333333333339,CTRL,0.7255560865314195,0.301087794628539,NA,1080.7874109559407,470.2536832682007,610.5337276877453,0.10680389043097109,540.0964570104501,1736.5547174195312,2847.4855965206316,169.90719461624468,0.15450700270928794,270.28708211155333,5.7,83.05,11.25,Silt,94.3,3570.1087524656577,0.3090140054185753,0.35146021231279595,0.3214677216685609,0.275785123189983,1.271867946741887,0.1462046705309234,5.3859961969320596,9.302295635501784,51.883685855883996,190.93932131366418,1946.5884545262488,23.27154741035438,0.1998349329948155,0.44213205360414637,14.620706772757625,16.974289514473465,19.635357768936863,18.277515972359954,0.7135762042610644,0.43510285047849345,hay/pasture,>25% & <75%,QuH.2,Wiegman,0.555555555555555,1080.7874109559407,470.2536832682007,610.53372768774,0.43510285047849345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CVH.F,B,B,44.2636194444444,-73.0684694444444,CVH,F,F,1,CVHF,CVH.F.1,0-10cm,2,9,0,0,11,0.818181818181818,2018,1993,2018,2018-1993,intact cores,NA,2021.525,3.52500000000009,CTRL,0.96998610705,0.29004712577981906,12.80062783296318,1777.0425693376906,1541.1256183817434,235.91695095594267,0.08171348994142656,988.4000061320811,999.1987016780389,2808.294589354827,117.9480329818164,0.3662777514830761,-367.6160516029206,50.7,44.3,5,Loam,49.3,2701.8197866422393,0.7325555029661504,0.6365295240890579,0.4605466020757799,0.8627026283570777,0.737846428533083,0.5752828192785228,47.4766819693577,52.10497960925975,274.9912304920017,232.69535399317607,2208.08606379924,10.02576060946867,0.5471705385496738,0.9695673392822807,6.478662290550536,5.609817674675735,12.517870372910256,10.53068720567352,2.68805151407091,0.8672418123084839,hay/pasture,>75%,CVH.F,Wiegman,0.818181818181818,1777.0425693376906,1541.1256183817434,235.9169509559472,0.8672418123084839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goo.A,B/D,D,43.9579333333333,-73.1531194444445,Goo,A,A,3,GooA,Goo.A.3,0-10cm,0,10,0,0,10,1,2020,NA,2020,NA,intact cores,NA,2021.44722222222,1.4472222222223,CTRL,0.98279665165,0.27580666220345,2.2592130980037615,1296.4901705381048,932.6357864548102,363.8543840832969,0.07524486863305185,801.4577231622485,1417.2390386430554,4328.345138383074,268.6828292288083,0.1990908662970254,125.22158984970724,15.2,71,13.8,Silt loam,84.8,4023.2485793062024,0.3981817325940504,0.33430011424905876,0.4377215100810663,0.4922452858274702,0.6791132768880135,0.23172792091841146,9.322629178190283,12.83565055250359,229.7142562164528,258.5208549725323,1519.3426022100143,16.4589126381259,0.3458912638125898,2.796586429563667,62.39064122939923,34.67130110500718,109.69277866073,38.27433080128769,2.796586429563667,0.7193543056849572,hay/pasture,>75%,Goo.A,Wiegman,1,1296.4901705381048,932.6357864548102,363.8543840832947,0.7193543056849572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LC.0,D,D,44.29485,-73.1733,LC,NA,0,S,LC,LC.0.S,0-10cm,7,2,0,0,9,0.222222222222222,2003,2006,2003,2003-2006,intact cores,2019-07-10T00:00:00Z,2019.51944444444,16.5194444444443,CTRL,0.314190793629887,0.6303542764921749,0.86984240385136,1022.5004854490759,480.3679925867004,542.1324928623745,0.21580078003385691,464.7748027045888,2356.4058225685367,1968.142007399915,22.218091394124027,0.1224173627768439,409.0945090745749,37.2999999999999,51.45,11.25,Silt loam,62.7000000000001,3795.0101641353895,0.24483472555368677,0.42819641192604496,0.2732484891019094,0.17237965838207894,2.495453423556935,0.12676635792882596,8.239428226170084,17.216601863441,133.70692334608216,746.4719791455162,3160.0593628029387,14.0654144362382,0.44450917779818455,0.6687384559862707,15.993145029448867,10.261034655275719,51.71126266491036,37.78308116486369,4.21757268149096,0.46979732471787117,hay/pasture,<25%,LC.0,Wiegman,0.222222222222222,1022.5004854490759,480.3679925867004,542.1324928623756,0.46979732471787117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CVH.F,B,B,44.2636194444444,-73.0684694444444,CVH,F,F,3,CVHF,CVH.F.3,0-10cm,2,9,0,0,11,0.818181818181818,2018,1993,2018,2018-1993,intact cores,NA,2021.525,3.52500000000009,CTRL,1.1274078504,0.2452138306259399,17.580765768664623,2080.128436487455,1722.1345622545794,357.9938742328793,0.06838816301726658,1324.079842247116,1100.2040758418896,2992.9116291193513,99.25694835607187,0.45257916446957436,-649.2995495496136,53.5,42.8,3.8,Loam,46.5,2919.9876383825513,0.905158328939151,0.799335997843351,0.4801110031737523,1.044151145649479,0.7666287237670636,0.5963240296684149,53.96278466679456,57.96066782473589,301.426892368014,224.3611940117913,1908.733698025995,9.409204243434456,0.5131885919959879,0.6285933753251431,6.698873972061175,5.195237345960386,7.3545114979864605,6.469461823349212,3.073943880652788,0.8278981874612555,hay/pasture,>75%,CVH.F,Wiegman,0.818181818181818,2080.128436487455,1722.1345622545794,357.99387423287567,0.8278981874612555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MiD.1,B/D,D,44.96486,-73.16756,MiD,1,1,NA,MiD1,MiD.1.,0-10cm,10,0,0,0,10,0,NA,1993,1993,pre-1993,surface plots,NA,2018.62222222222,25.6222222222222,CTRL,0.770453881020798,0.441320434586505,0.246248836053899,1242.5,817.5,424.999999999999,0.0978260869565215,570.199999999999,1475.99999999999,5960,268,0.11417810113184525,579.4845635468406,NA,NA,NA,NA,NA,4993.95238095237,0.22835620226369,0.172825286858627,0.479395079026795,0.336467348544453,0.513646532438478,0.163697996624488,2.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6579476861167002,"uncertain
(unfarmed since 1995)",<25%,MiD.1,Wiegman,0,1242.5,817.5,425,0.6579476861167002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCD.FN,B/D,D,43.7808944444444,-73.0989805555556,OCD,FN,FN,1,OCDFN,OCD.FN.1,0-10cm,4,5,0,0,9,0.555555555555555,2016,2003,2016,2016-2003,intact cores,NA,2021.525,5.52500000000009,CTRL,0.91666188885,0.29040922359352794,2.551940924282432,1024.8924068114666,686.0228467726075,338.8695600388597,0.051165825327029166,527.5209357559722,1006.5151781341777,3076.6100717156346,105.92145675155552,0.18627315140938103,125.6198858931392,28.2,64.3,7.5,Silt loam,71.8,2858.751970414629,0.37254630281876083,0.3188989455548301,0.4290596846029535,0.45563424549823955,0.6938635387857233,0.24101300543351398,6.524690921481304,9.734096900712947,88.96824372383335,121.89559386265189,589.2266102234271,39.341345673162266,0.1012010136636975,1.6886852505011285,61.011498325378646,6.802680784844319,14.330139077427578,6.368287777739708,2.1652973117150007,0.6693608443318327,hay/pasture,>25% & <75%,OCD.FN,Wiegman,0.555555555555555,1024.8924068114666,686.0228467726075,338.86956003885905,0.6693608443318327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LC.3,D,D,44.29576,-73.173,LC,NA,3,N,LC,LC.3.N,0-10cm,7,2,0,0,9,0.222222222222222,2003,2006,2003,2003-2006,intact cores,2019-07-10T00:00:00Z,2019.51944444444,16.5194444444443,CTRL,0.4358217665185725,0.5667457978133412,0.18511964782765608,947.3611907075175,239.68803148855562,707.673159218963,0.22914656878597986,392.21478488912317,2897.7725907237486,2595.1759091311587,50.19365053477982,0.08288792422748903,701.8218771569949,20.32,58.4299999999999,21.25,Silt loam,79.68,4763.6874692058245,0.16577584845497773,0.27301275633762223,0.3271236832472005,0.11957574629836445,2.316389876118419,0.050614944134171495,6.278442535015339,13.484461482023795,145.57035734439557,942.2801993647186,3682.2542243184457,8.06569948553984,0.48135912872128633,0.5070049584065843,10.509628119506175,13.93332264663943,28.712048872553684,21.664111558603523,2.756518859455593,0.25300596418727,hay/pasture,<25%,LC.3,Wiegman,0.222222222222222,947.3611907075175,239.68803148855562,707.6731592189619,0.25300596418727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCSP.3,C,C,43.92015,-73.1744,OCSP,NA,3,S,OCSP,OCSP.3.S,0-10cm,8,1,0,0,9,0.111111111111111,1995,2003,1995,1995-2003,intact cores,2019-07-09T00:00:00Z,2019.51944444444,24.5194444444443,CTRL,0.6349429931529905,0.4055961421118657,0.6966108258496158,1134.4143153672635,389.86915223998346,744.545163127279,0.11919203362227337,722.8173942373487,1532.7349958320303,2040.8033750877282,31.535438518162504,0.25026158165062257,-57.92429430646321,12.775,79.7249999999999,7.5,Silt loam/Silt,87.225,2889.5372868471118,0.5005231633012432,0.6398068607175903,0.3767131716491068,0.41120508579877835,1.5574137448385452,0.1350212152765982,5.2640593133785645,13.449784726919763,79.83605214691904,98.46987692588654,1021.886018579672,63.432943575849954,0.08728826761828498,0.6260656016313462,91.70750283261673,12.231335401063431,17.352242238827063,23.56872252431266,2.343908338989682,0.3436743938776587,hay/pasture,<25%,OCSP.3,Wiegman,0.111111111111111,1134.4143153672635,389.86915223998346,744.54516312728,0.3436743938776587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goo.F,C/D,D,43.9451805555556,-73.1638666666667,Goo,F,F,1,GooF,Goo.F.1,0-10cm,6,4,0,0,10,0.4,2016,2006,2016,2016-2006,intact cores,NA,2021.44722222222,5.4472222222223,CTRL,0.5107995912000001,0.38260373794805524,1.9779976944093578,1238.5184255183099,603.1043517787218,635.4140737395907,0.19370225530036544,748.8776657543616,3361.970554630543,8608.275072434923,471.8337359173798,0.08765739936313878,1229.6102555170714,1.6,60.9,37.5,Silty clay loam,98.4,8625.335395811278,0.17531479872627678,0.15874025383890675,0.2821421269952523,0.19575649757248179,0.8102183913350174,0.07040841942278096,1.060628203415837,4.420467516458733,153.48020501861356,473.73221360557733,3182.4172392329037,70.40160686957104,0.23070854689438908,0.5385829062112217,30.45668375155113,26.685025627326695,43.84251281366335,14.14959828260724,1.5992111096270587,0.48695630145859764,hay/pasture,>25% & <75%,Goo.F,Wiegman,0.4,1238.5184255183099,603.1043517787218,635.414073739588,0.48695630145859764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sa.3,A/D,D,43.87,-73.1795,Sa,3,3,NA,Sa3,Sa.3.,0-10cm,10,0,0,0,10,0,NA,1993,1993,pre-1993,intact cores,NA,2018.58055555555,25.5805555555555,CTRL,0.264740259169345,0.713051319999568,0.207499393905152,1377.5,344.53125,1032.96875,0.205,659,2320,5160,190.999999999999,0.11938119725296055,611.8192592429131,NA,NA,NA,NA,NA,5520.132275132275,0.238762394505921,0.230707676919229,0.209725372155391,0.247399888765294,0.932529428653459,0.0624135859120774,3.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25011343012704174,"uncertain
(unfarmed since 1995)",<25%,Sa.3,Wiegman,0,1377.5,344.53125,1032.96875,0.25011343012704174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Za.1,B/D,D,43.74,-73.0572,Za,1,1,NA,Za1,Za.1.,0-10cm,8,1,0,0,9,0.111111111111111,1994,2003,1994,1994-2003,surface plots,NA,2018.53055555555,24.5305555555555,CTRL,0.298769637996224,0.617466638486576,2.55244944017566,1482.5,512.068965517241,970.431034482758,0.218264604640082,758.4,2100,4740,94.1999999999999,0.15062443353325505,400.74349162410704,NA,NA,NA,NA,NA,5035.039682539682,0.30124886706651,0.289032258064516,0.20792209927492,0.314543778801843,0.918893577121425,0.101701078403209,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3454090829795892,hay/pasture,<25%,Za.1,Wiegman,0.111111111111111,1482.5,512.068965517241,970.431034482759,0.3454090829795892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,C/D,D,44.978047,-72.334311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.0870353121352,802.3999999999999,2317.6,6928,228.64000000000001,0.12352043703612721,693.0999532362924,19.1,60.56666666666666,20.266666666666666,NA,NA,6496.091005291005,NA,NA,NA,NA,NA,NA,4.3790000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HMR-F,Perillo,1,1130.1384999999998,865.7257731783976,527.2807127580933,0.7660351126684011,53,35,20150710,USGS-VWRLSC-2014,Hay,Hay_D,Interior,1130.1384999999998,527.2807127580933,865.7257731783976,0.3205604716666667,5.04845198,6.390000000000001,Silt loam,D,27740.853333333333,4012.6933333333327,55.01,26882.143333333337,7053.91,7250,672.63,457.84,664.74,NA,NA,NA,NA,3,2015-07-10,2015
OCSP.2,C,C,43.91869,-73.175,OCSP,NA,2,2,OCSP,OCSP.2.2,0-10cm,8,1,0,0,9,0.111111111111111,1995,2003,1995,1995-2003,intact cores,2019-07-09T00:00:00Z,2019.51944444444,24.5194444444443,CTRL,0.4822285704746395,0.5243984401823814,0.820794896515834,1255.1556242752238,381.39294120157365,873.762683073648,0.17434347669345526,799.3814055107382,2488.961628208848,2316.729233442773,46.141468255388894,0.19300803549276546,154.04473072201185,2.96500000000001,82.0349999999999,15,Silt loam,97.035,4140.171795609895,0.3860160709855299,0.6230669004911102,0.3464636219671106,0.27997366181888994,2.2350679105845948,0.09203408835364829,5.642711128698303,14.155333731625001,104.75020569013647,174.49688192096266,2074.723493152397,56.929909127586406,0.19257018067927636,0.700022131442904,88.24058704295481,21.490888777679043,37.4184816764617,54.34354753801505,3.159402451041586,0.303861078120735,hay/pasture,<25%,OCSP.2,Wiegman,0.111111111111111,1255.1556242752238,381.39294120157365,873.7626830736501,0.303861078120735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DM.F,C,C,44.50285,-73.2135,DM,F,F,3,DMF,DM.F.3,0-10cm,5,7,0,0,12,0.583333333333333,2012,2008,2012,2012-2008,intact cores,NA,2021.44722222222,9.4472222222223,CTRL,1.05343050115,0.20672739343234353,0.25920479820363607,983.1543119119563,704.9887787203921,278.1655331915666,0.0523709316380884,382.9993645609394,903.4306363476838,3659.9345971107964,350.1299938281176,0.12514471823777024,321.86368941504355,30.6,61.9,7.5,Silt loam,69.4,3063.307435503516,0.25028943647553975,0.18922703770217797,0.3738298880403278,0.36953833104580575,0.5119972675988766,0.23024314812708369,0.8787508803992636,2.526933338871455,51.66821063124863,118.10343870433886,1007.0195094685672,16.953403488368323,0.14352280730902398,0.5694315780729281,3.821249119600736,8.778750880399265,5.56477192690976,2.8352280730902395,1.3870456146180479,0.7170682874282359,row crop,>25% & <75%,DM.F,Wiegman,0.583333333333333,983.1543119119563,704.9887787203921,278.1655331915641,0.7170682874282359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Goo.A,B/D,D,43.9579333333333,-73.1531194444445,Goo,A,A,1,GooA,Goo.A.1,0-10cm,0,10,0,0,10,1,2020,NA,2020,NA,intact cores,NA,2021.44722222222,1.4472222222223,CTRL,1.02109257975,0.24757403283555524,2.8281172913118726,1198.353551246066,842.7279906975245,355.62556054854804,0.07032745821637554,728.9846136511356,1241.4713002730884,3942.9917775192544,269.25816477890965,0.20200053564731285,101.80250125210988,17.2,71.6,11.3,Silt loam,82.8,3608.12056551435,0.4040010712946244,0.3338455516424664,0.4175726727091591,0.5115380426583214,0.6531086406224884,0.233576483254966,10.137009105858212,13.381892073484144,188.27181445272865,257.5039662641325,1611.590441855084,15.224414838129668,0.30000000000000004,2.114567622045243,38.50396626413248,37.05513658787315,207.29541648253272,27.437028661357285,2.5830721749743475,0.7032381969588553,hay/pasture,>75%,Goo.A,Wiegman,1,1198.353551246066,842.7279906975245,355.62556054854144,0.7032381969588553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,B,B,44.909986,-72.870158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.01449209460864,740,1870,3942,285.79999999999995,0.1709316575854895,256.65194572195094,59.1,35,5.833333333333333,NA,NA,4329.215608465609,NA,NA,NA,NA,NA,NA,11.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CKF-F,Perillo,1,1037.4473333333333,899.8550010162176,137.59233231711582,0.8673741520207782,7,7,20150717,USGS-VWRLSC-2014,Corn,Corn_B,Interior,1037.4473333333333,137.59233231711582,899.8550010162176,0.08311734666666666,0.8406087360000001,6.846666666666667,Sandy loam,B,15690.01,3455.463333333333,26.260180000000002,21465.816666666666,2521.6776666666665,5978.668000000001,598.8335666666667,317.7028,216.23979999999997,NA,NA,NA,NA,2,2015-07-17,2015
NA,B/D,D,44.832175,-73.002153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1995,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,0.0658930136544,618.4,2390.4,9744,1029.6,0.0759842068185914,1255.2154110985662,27.400000000000002,65.06666666666666,7.5,NA,NA,8138.533333333333,NA,NA,NA,NA,NA,NA,0.8892248213333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WWR-F,Perillo,0,1080.2756666666667,645.748156891995,434.5275097746715,0.5977623830818445,47,58,20150617,USGS-VWRLSC-2014,Wetland,Wetland_C,Interior,1080.2756666666667,434.5275097746715,645.748156891995,0.314728485,3.8221005600000004,6.006666666666667,Silt loam,C,18257.86333333333,5134.803333333333,29.603333333333335,28032.36333333333,2439.193333333333,5905.316666666666,1523.8533333333335,286.94,661.0833333333334,NA,NA,NA,NA,5,2015-06-17,2015
NA,C/D,D,44.89465,-73.053225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2015,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.049163838486293326,907.2,1972.8000000000002,5352,527.2,0.1735344323458738,296.3154931554203,21.8,58.46666666666666,19.733333333333334,NA,NA,5227.780952380953,NA,NA,NA,NA,NA,NA,12.886666666666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HWH-F,Perillo,1,1346.2706666666666,1043.4964100189256,543.8928402907222,0.7751014976821841,37,41,20150617,USGS-VWRLSC-2014,Hay,Hay_C,Interior,1346.2706666666666,543.8928402907222,1043.4964100189256,0.272850351,2.8517307706666664,7.163333333333334,Silt loam,C,29222.676666666666,7098.303333333334,40.415,28013.569999999996,5736.38,7855.59,802.9366666666666,376.8866666666666,696.19,NA,NA,NA,NA,3,2015-06-17,2015
OCD.4,B/D,D,43.78135,-73.098,OCD,NA,4,N,OCD,OCD.4.N,0-10cm,9,0,0,0,9,0,NA,1993,1993,pre-1993,intact cores,2019-07-09T00:00:00Z,2019.51944444444,26.5194444444443,CTRL,0.55729110309217,0.4345505549135888,0.12132861904966585,1081.9805371911975,319.48373318159395,762.496804009608,0.24564767657836498,522.4223366191447,1845.9308250300421,5300.9727062981465,359.1087039539599,0.1034006912804251,640.9047532440024,15.9899999999999,75.26,8.75,Silt loam,84.0100000000001,5053.869092211443,0.2068013825608493,0.178051453426617,0.30636844921818474,0.24665092135511704,0.7220942556713906,0.0633718258149078,3.5070919867476715,9.093299242316304,76.19389211961845,261.52011945820726,1948.777025123923,31.446211721353663,0.0916243633808088,0.44399927243521015,11.423665834573805,53.9303608845307,25.026540693430032,14.160887955022433,1.2921138136913632,0.29527678382364264,"uncertain
(unfarmed since 1995)",<25%,OCD.4,Wiegman,0,1081.9805371911975,319.48373318159395,762.4968040096036,0.29527678382364264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LC.4,C/D,D,44.29478,-73.1744,LC,NA,4,S,LC,LC.4.S,0-10cm,7,2,0,0,9,0.222222222222222,2003,2006,2003,2003-2006,intact cores,2019-07-10T00:00:00Z,2019.51944444444,16.5194444444443,CTRL,0.6896566876072909,0.41773885750469775,0.08114918035035762,759.0010869061159,285.9779052521405,473.0231816539748,0.16777970529051872,290.0100815619381,2404.7003354576595,3062.206925294097,40.60973246424439,0.06625565665953592,730.6212601948394,15.4849999999999,49.515,35,Silty clay loam,84.5150000000001,4456.102499223318,0.13251131331907118,0.17579930326547777,0.43488733103039223,0.10639668718588453,1.6339524819794764,0.06430176283568773,2.6620408040962897,5.782481634470243,114.00733683087685,823.9539192746604,2918.4086601519166,11.437688432537783,0.295100039416485,2.635639595324088,7.810700275915396,12.775331443957231,14.228269975036227,14.930041986590842,3.6604301694908856,0.3767819443024254,hay/pasture,<25%,LC.4,Wiegman,0.222222222222222,759.0010869061159,285.9779052521405,473.0231816539754,0.3767819443024254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
